Title,Priority,Research Domain,Keywords,Summary,Key Quotes/Statistics,Source,Progress,Created time,Last edited time,Deadline
A Comprehensive Real-Time Indoor Air-Quality Level Indicator,High,IAQ,"CO2, Indoor Air Quality, ML/AI","The document discusses the creation of a comprehensive real-time indoor air-quality level indicator. The proposed CIAQI, based on EMA, is found to be the most adaptive to the change of real-time air-quality, despite smoothing outliers well over other schemes (AVG and SMA). ","The results suggest that the proposed CIAQI (based on EMA) is the most adaptive to the change of real-time air-quality, despite smoothing outliers well over other schemes: AVG and SMA",Sustainability,Done,"April 24, 2023 3:01 PM","April 24, 2023 3:44 PM","April 26, 2023"
Smart Real-Time Indoor Air Quality Sensing System and Analytics,Medium,,"CO2, Digital Twin, ML/AI, Real Time",,,,In progress,"April 24, 2023 11:37 AM","April 26, 2023 11:49 AM","April 26, 2023"
How to assess classroom ventilation - Harvard,High,IAQ,,,,Harvard,Done,"April 4, 2023 6:15 PM","April 24, 2023 11:27 AM","April 14, 2023"
"Estimation and analysis of ventilation rates in
schools in Indian context: IAQ and Indoor
Environmental Quality",High,IAQ,,,,,Planned,"April 4, 2023 6:15 PM","April 24, 2023 11:34 AM","April 26, 2023"
The Relationships Between Classroom Air Quality and Children’s Performance in School,High,IAQ,"Academic Performance, CO2, Indoor Air Quality, Learning","The article is a systematic review of the impact of classroom air quality on children's academic performance. The study found that indoor air quality has a significant impact on students' performance in school. ","The analysis predicts that reducing CO2 concentration from 2,100 ppm to 900 ppm would improve the performance of psychological tests and school tasks by 12% with respect to the speed at which the tasks are performed and by 2% with respect to errors made

Reducing the CO2 concentration from 2,400 ppm to 900 ppm would improve the performance of national tests and school-leaving examinationss by 5% and reducing CO2 from 4,200 ppm to 1,000 ppm would increase children’s daily attendance by 2.5%.",Science of The Total Environment Volume,Done,"April 4, 2023 6:17 PM","April 7, 2023 11:23 AM","April 9, 2023"
2012 Measurements of CO2 Levels in a Classroom and Its Effect on the Performance,High,IAQ,,,,,Planned,"April 4, 2023 6:19 PM","April 24, 2023 11:34 AM","April 26, 2023"
"Guidelines on ventilation,
thermal comfort and indoor
air quality in schools",High,ESG and Technical Standards,"CO2, D-School Wellness, Indoor Air Quality","This article provides guidelines for maintaining a comfortable and healthy indoor environment in schools. It covers standards for ventilation, thermal comfort, and indoor air quality.",,Educations & Skills Agency,In progress,"April 4, 2023 6:25 PM","April 24, 2023 5:17 PM","April 14, 2023"
Letter to private schools on ventilation,High,ESG and Technical Standards,"CO2, D-School Wellness, Indoor Air Quality, Learning","The ""Letter to private schools on ventilation"" provides guidance and service specifications for a requirement tthat schools conduct proper ventilation assessments in accordance with EDB “Health Protection Measures for Schools” Guidelines. ","With the analysis of site inspection result, the engineering team shall be able to
advise the School and the School Sponsoring Body (SSB) / School Management
Committee (SMC) / Incorporated Management Committee (IMC) of the School
of the followings: 
• Condition of the existing ventilation system;
• Fresh air supply status to different rooms in the School;
• Air change rate of toilets;
• Dead air zone / area;
• Distance between fresh air intake and other sources of contamination; and
• Proposed short-term modification/housekeeping proposal and long-term
improvement plan.",HKGOV,Done,"April 4, 2023 6:29 PM","April 12, 2023 11:12 AM","April 14, 2023"
"A Data-Driven Study on the Association of Classrooms' Indoor Air Quality, Thermal Environment, and Students' Academic Performance",High,IAQ,"Academic Performance, CO2, Indoor Air Quality, Learning","The article discusses the association between indoor air quality, thermal environment, and students' academic performance in classrooms from a study conducted in 220 classrooms in midwestern region of the United States. ","Selecting a tracer-gas method without first evaluating the type of ventilation system, occupant demographics and activities, and a detailed layout may lead to inaccurate estimates of ventilation rate.

Seasonal ventilation rates in classrooms are the most significant IAQ factor that may be associated with students’ scores",ScienceDirect,Done,"April 4, 2023 6:32 PM","April 7, 2023 3:31 PM","April 9, 2023"
"Housing , Plannin, and Lands Bureau - Technical Cicular on applying air ventilation assessments to major government projects",High,ESG and Technical Standards,,,,,In progress,"April 10, 2023 11:34 AM","April 24, 2023 5:19 PM","April 26, 2023"
The Study of CO2 Concentration in a Classroom during the COVID19 Safety Measures,Medium,IAQ,,,,,Not started,"April 10, 2023 11:34 AM","April 10, 2023 11:37 AM",
HKEX Appendix 27: ESG Reporting Guide,Low,ESG and Technical Standards,,,,,In progress,"April 10, 2023 11:33 AM","April 26, 2023 11:51 AM",
Indoor Air Quality in London’s Schools,Medium,IAQ,,,,,Not started,"April 10, 2023 11:32 AM","April 10, 2023 11:37 AM",
Airflow around Buildings,Low,IAQ,,,,,Not started,"April 10, 2023 11:31 AM","April 10, 2023 11:37 AM",
